month,open,high,low,last,change,settle,volume,openInterest
JLY 20,1.12565,1.12630,1.11945,1.12220,-.00440,1.12200,721,"11,009"
AUG 20,1.12630,1.12720,1.12040,1.12310,-.00440,1.12290,154,"1,213"
SEP 20,1.12740,1.12795,1.12100,1.12390,-.00440,1.12360,"156,977","564,731"
OCT 20,-,-,1.12240,1.12495,-.00435,1.12455,0,0
DEC 20,1.12950,1.13025,1.12340,1.12620,-.00440,1.12595,398,"2,699"
MAR 21,-,-,1.12630,1.12920,-.00440,1.12870,0,712
JUN 21,-,-,1.12925,1.13125,-.00440,1.13110,0,849
SEP 21,1.13280,1.13365,1.13205,1.13365,-.00440,1.13355,16,196
DEC 21,-,-,1.13565,1.13575,-.00440,1.13610,0,312
MAR 22,-,-,-,-,-.00435,1.13865,0,0
JUN 22,-,-,-,-,-.00435,1.14115,0,0
SEP 22,-,-,-,-,-.00440,1.14435,0,0
DEC 22,-,-,-,-,-.00450,1.14740,0,0
MAR 23,-,-,-,-,-.00450,1.15025,0,0
JUN 23,-,-,-,-,-.00465,1.15350,0,0
SEP 23,-,-,-,-,-.00475,1.15655,0,0
DEC 23,-,-,-,-,-.00475,1.15965,0,0
MAR 24,-,-,-,-,-.00485,1.16270,0,0
JUN 24,-,-,-,-,-.00490,1.16575,0,0
SEP 24,-,-,-,-,-.00500,1.16880,0,0
DEC 24,-,-,-,-,-.00510,1.17185,0,0
MAR 25,-,-,-,-,-.00515,1.17490,0,0
JUN 25,-,-,-,-,-.00525,1.17795,0,0
Total,,,,,,,"158,266","581,721"
2,0,2,0,0,6,2,5
