month,open,high,low,last,change,settle,volume,openInterest
DEC 19,1.11345,1.11560,1.11040,1.11335,-.00265,1.11150,"369,923","197,982"
JAN 20,1.11555,1.11815,1.11315,1.11575,-.00270,1.11410,"2,373","2,135"
FEB 20,1.11840,1.12030,1.11530,1.11815,-.00270,1.11650,851,"1,734"
MAR 20,1.12040,1.12255,1.11745,1.12025,-.00265,1.11850,"284,227","398,307"
APR 20,-,-,-,-,-.00285,1.12025,0,1
JUN 20,1.12700,1.12870,1.12385,1.12660,-.00265,1.12485,456,"2,370"
SEP 20,-,-,1.13140,1.13140,-.00280,1.13085,0,681
DEC 20,1.13620,1.13845,1.13620,1.13820,-.00270,1.13695,2,658
MAR 21,1.14215,1.14405,1.14215,1.14405,-.00265,1.14300,2,0
JUN 21,-,-,-,-,-.00260,1.14905,0,0
SEP 21,-,-,-,-,-.00255,1.15510,0,1
DEC 21,-,-,-,-,-.00245,1.16120,0,0
MAR 22,-,-,-,-,-.00245,1.16715,0,0
JUN 22,-,-,-,-,-.00245,1.17310,0,0
SEP 22,-,-,-,-,-.00245,1.17955,0,0
DEC 22,-,-,-,-,-.00245,1.18550,0,0
MAR 23,-,-,-,-,-.00235,1.19105,0,0
JUN 23,-,-,-,-,-.00240,1.19745,0,0
SEP 23,-,-,-,-,-.00240,1.20340,0,0
DEC 23,-,-,-,-,-.00235,1.20940,0,0
MAR 24,-,-,-,-,-.00235,1.21535,0,0
JUN 24,-,-,-,-,-.00230,1.22135,0,0
SEP 24,-,-,-,-,-.00230,1.22730,0,0
Total,,,,,,,"657,834","603,869"
2,0,1,9,1,2,1,2
