month,open,high,low,last,change,settle,volume,openInterest
JAN 21,1952.0,1959.9,1901.5,1922.4,-45.8,1906.9,331,392
FEB 21,1952.8,1962.5,1902.6,1920.2,-45.8,1908.6,"367,653","405,235"
MAR 21,1957.4,1961.4,1905.5,1918.6,-46.3,1910.4,476,243
APR 21,1958.3,1966.8,1907.2,1924.6,-45.8,1913.0,"25,979","96,273"
JUN 21,1963.2,1969.3,1910.9,1929.9,-45.7,1916.4,"7,523","36,372"
AUG 21,1965.6,1971.5,1914.4,1932.8,-45.8,1919.4,"3,815","11,879"
OCT 21,1970.3,1970.3,1927.0,1939.0,-45.8,1922.3,754,"5,801"
DEC 21,1972.7,1978.0,1920.0,1933.5,-45.7,1925.7,714,"10,335"
FEB 22,1975.9,1979.9,1926.5,1938.0,-45.8,1929.1,"1,130","1,900"
APR 22,1971.7,1971.7,1971.7,1926.3,-45.3,1932.3,7,18
JUN 22,-,-,-,1928.8,-45.7,1934.8,20,115
AUG 22,-,-,-,1941.9,-45.7,1936.3,0,4
OCT 22,-,-,-,1947.6,-45.7,1940.0,0,0
DEC 22,-,-,-,1939.1,-45.7,1943.3,16,294
JUN 23,-,-,-,1963.6,-45.7,1952.7,0,8
DEC 23,-,-,-,1973.1,-45.7,1962.0,0,6
JUN 24,-,-,-,1985.2,-45.7,1971.5,0,2
DEC 24,-,-,-,1997.7,-45.7,1980.6,0,9
JUN 25,-,-,-,2008.9,-45.7,1989.4,0,0
DEC 25,-,-,-,2023.2,-45.7,1998.5,0,2
JUN 26,-,-,-,-,-45.7,2007.5,0,0
DEC 26,-,-,-,-,-45.7,2016.5,0,0
Total,,,,,,,"408,418","568,888"
2,0,2,1,0,1,0,6
