month,open,high,low,last,change,settle,volume,openInterest
AUG 19,1500.0,1520.5,1497.0,1516.1,+13.7,1515.9,328,"2,067"
SEP 19,1502.8,1525.4,1495.0,1518.0,+14.2,1518.5,"3,034","3,660"
OCT 19,1506.6,1528.4,1499.0,1521.3,+13.7,1521.6,"11,636","48,556"
DEC 19,1513.0,1534.9,1504.5,1527.3,+13.7,1527.8,"485,133","445,200"
FEB 20,1517.7,1540.7,1512.0,1532.4,+13.6,1533.8,"5,161","45,138"
APR 20,1522.5,1545.6,1518.0,1532.5,+13.6,1538.8,"1,454","23,294"
JUN 20,1526.8,1547.7,1525.3,1540.0,+13.6,1542.9,"2,063","19,706"
AUG 20,1532.0,1552.0,1524.3,1549.3,+13.5,1547.0,481,"2,355"
OCT 20,1533.4,1534.2,1533.4,1534.2,+13.4,1550.6,187,142
DEC 20,1538.5,1553.1,1532.6,1553.1,+13.3,1554.0,238,"2,589"
FEB 21,-,-,-,-,+13.3,1557.7,0,27
APR 21,-,-,-,-,+13.3,1561.0,0,0
JUN 21,-,-,-,-,+13.3,1564.2,0,721
DEC 21,-,-,-,-,+13.3,1574.8,0,449
JUN 22,-,-,-,-,+13.3,1585.5,0,6
DEC 22,-,-,-,-,+13.3,1596.2,0,40
JUN 23,-,-,-,-,+13.3,1606.4,0,5
DEC 23,-,-,-,-,+13.3,1617.3,0,2
JUN 24,-,-,-,-,+13.3,1629.7,0,1
DEC 24,-,-,-,-,+13.3,1640.2,0,3
JUN 25,-,-,-,-,+13.3,1651.3,0,1
Total,,,,,,,"509,715","593,962"
2,0,1,9,0,8,1,4
